Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
3195;2013-05-07;22.4;16:00;13.9;05:50;18.1;32;16:10;14;17:50;0;0;0;0;0
3195;2013-05-08;25.0;14:20;16.2;07:20;20.6;;;;;;0;;0;0
3195;2013-05-09;24.1;16:20;15.0;05:40;19.6;60;17:00;24;17:00;0;0;0;0;0
3195;2013-05-10;24.8;15:50;14.7;07:30;19.7;30;18:00;13;18:00;0;0;0;0;0
3195;2013-05-11;24.8;16:20;12.0;07:10;18.4;37;17:40;15;23:30;0.5;0;0.5;0;0
3195;2013-05-12;25.3;15:40;10.9;07:30;18.1;31;01:20;17;01:40;0;0;0;0;0
3195;2013-05-13;26.1;16:20;13.1;07:10;19.6;31;01:50;16;01:40;0;0;0;0;0
3195;2013-05-14;22.1;16:00;12.3;23:59;17.2;39;00:40;18;21:20;6.1;1.3;0;0.5;4.3
3195;2013-05-15;12.8;17:10;8.8;23:59;10.8;39;14:10;17;14:00;0.7;0.3;0.4;0;0
3195;2013-05-16;14.3;15:00;6.4;07:00;10.4;47;20:00;20;16:40;0;0;0;0;0
3195;2013-05-17;9.7;00:00;6.0;16:30;7.8;35;02:50;17;13:10;10.2;0.1;1.8;8.3;0
3195;2013-05-18;14.5;16:40;5.5;06:50;10;55;13:40;21;16:50;1.2;0;0.4;0.8;0
3195;2013-05-19;14.8;16:10;5.9;07:00;10.4;43;19:10;13;16:40;2.3;0;0;0;2.3
3195;2013-05-20;;;;;;;;;;;0.1;;;
3195;2013-05-21;;;;;;;;;;;;0;0;0
3195;2013-05-22;22.0;16:10;8.8;06:20;15.4;37;19:10;18;19:50;0;0;0;0;0
3195;2013-05-23;23.4;18:30;8.6;07:10;16;37;01:30;17;01:10;0;0;0;0;0
3195;2013-05-24;24.2;16:20;9.4;07:20;16.8;33;16:50;15;02:00;0;0;0;0;0
3195;2013-05-25;24.8;16:20;9.9;07:40;17.3;;;;;;0;0;;0
3195;2013-05-26;23.5;18:20;10.8;06:00;17.2;37;19:30;19;19:30;0;0;0;0;0
3195;2013-05-27;20.5;16:30;11.1;06:20;15.8;33;15:20;17;00:40;1.7;0;0;0.6;1.1
3195;2013-05-28;19.2;16:00;11.1;08:00;15.2;40;17:00;18;13:10;0;0;0;0;0
3195;2013-05-29;17.9;15:40;8.2;07:40;13;44;12:50;21;20:00;3.1;0;0;0;3.1
3195;2013-05-30;19.6;16:10;6.3;06:40;13;36;01:50;14;20:30;0.3;0.3;0;0;0
3195;2013-05-31;20.7;14:50;8.8;06:50;14.8;50;16:40;22;16:10;0;0;0;0;0
3195;2013-06-01;23.8;17:30;9.7;06:50;16.7;45;22:20;19;22:40;0;0;0;0;0
3195;2013-06-02;24.2;16:00;10.0;07:10;17.1;39;23:40;20;01:10;0;0;0;0;0
3195;2013-06-03;25.8;16:40;11.1;07:20;18.4;43;01:40;22;01:40;0;0;0;0;0
3195;2013-06-04;28.8;16:00;14.2;06:50;21.5;32;15:10;15;03:40;0;0;0;0;0
3195;2013-06-05;29.6;15:50;15.9;06:40;22.8;41;21:50;20;17:20;0;0;0;0;0
3195;2013-06-06;24.9;17:10;14.2;07:00;19.5;39;15:20;15;17:20;4.3;4.2;0.1;0;0
3195;2013-06-07;18.4;15:10;12.9;23:59;15.6;37;18:10;17;18:10;0;0;0;0;0
3195;2013-06-08;18.8;16:40;10.2;07:50;14.5;42;16:30;20;17:00;0.4;0;0;0.4;0
3195;2013-06-09;21.0;18:00;10.8;07:10;15.9;31;11:30;14;14:20;0.1;0;0;0;0.1
3195;2013-06-10;25.0;15:50;11.8;07:10;18.4;32;16:10;14;19:00;0.1;0;0;0.1;0
3195;2013-06-11;28.3;16:10;14.1;07:30;21.2;27;15:30;11;00:10;0;0;0;0;0
3195;2013-06-12;31.9;15:50;18.2;03:20;25.1;24;17:30;9;07:30;0;0;0;0;0
3195;2013-06-13;;;;;;;;;;;0;0;0;
3195;2013-06-14;;;;;;;;;;;;;;
3195;2013-06-15;;;;;;;;;;;;0;0;0
3195;2013-06-16;;;;;;;;;;;;;0;0
3195;2013-06-17;;;;;;;;;;;;;0;0
3195;2013-06-18;19.8;16:10;11.4;07:40;15.6;39;16:40;17;17:10;0;0;0;0;0
3195;2013-06-19;20.5;14:10;11.6;05:40;16.1;;;;;;0;;0;0
3195;2013-06-20;;;;;;;;;;;0;;;0
3195;2013-06-21;;;;;;;;;;;;;0;0
3195;2013-06-22;30.7;16:40;15.6;07:20;23.2;24;00:20;12;01:50;0;0;0;0;0
3195;2013-06-23;32.2;15:40;18.6;07:50;25.4;51;23:30;22;22:30;0;0;0;0;0
3195;2013-06-24;31.1;16:30;11.3;07:40;21.2;48;00:30;23;00:40;0;0;0;0;0
3195;2013-06-25;32.0;16:50;17.4;07:20;24.7;43;23:40;18;23:40;0;0;0;0;0
3195;2013-06-26;31.7;15:50;16.9;06:50;24.3;39;01:30;21;00:10;0;0;0;0;0
3195;2013-06-27;31.3;16:50;18.1;07:10;24.7;33;23:59;16;23:59;0;0;0;0;0
